age,sex,bmi,children,smoker,region,expenses
45,female,25.2,2,no,northeast,9095.07
36,female,30.0,0,no,northwest,5272.18
64,female,26.9,0,yes,northwest,29330.98
46,male,25.7,3,no,northwest,9301.89
19,male,31.9,0,yes,northwest,33750.29
34,male,42.9,1,no,southwest,4536.26
19,female,22.5,0,no,northwest,2117.34
64,male,37.9,0,no,northwest,14210.54
28,female,17.3,0,no,northeast,3732.63
49,male,28.7,3,no,northwest,10264.44
30,male,24.4,3,yes,southwest,18259.22
41,male,30.6,2,no,northwest,7256.72
29,female,29.6,1,no,southeast,3947.41
46,male,42.4,3,yes,southeast,46151.12
60,male,40.9,0,yes,southeast,48673.56
47,male,38.9,2,yes,southeast,44202.65
49,female,42.7,2,no,southeast,9800.89
47,female,36.6,1,yes,southeast,42969.85
46,female,28.1,1,no,southeast,8233.1
43,female,26.9,0,yes,northwest,21774.32
25,male,23.9,5,no,southwest,5080.1
43,male,32.6,2,no,southwest,7441.5
19,male,30.4,0,no,southwest,1256.3
22,female,39.8,0,no,northeast,2755.02
50,female,28.1,3,no,northwest,11085.59
54,female,32.7,0,no,northeast,10923.93
60,female,35.1,0,no,southwest,12644.59
27,female,30.4,3,no,northwest,18804.75
47,female,26.6,2,no,northeast,9715.84
18,male,30.1,0,no,southeast,1131.51
40,female,29.3,4,no,southwest,15828.82
57,female,31.8,0,no,northwest,11842.62
21,female,34.9,0,no,southeast,2020.55
30,female,20.0,3,no,northwest,5693.43
26,male,30.0,1,no,southwest,2904.09
45,male,39.8,0,no,northeast,7448.4
21,female,26.4,1,no,southwest,2597.78
43,female,29.9,1,no,southwest,7337.75
52,female,24.1,1,yes,northwest,23887.66
36,male,35.2,1,yes,southeast,38709.18
19,female,28.6,5,no,southwest,4687.8
22,male,31.4,1,no,northwest,2643.27
56,female,35.8,1,no,southwest,11674.13
59,male,25.5,0,no,northwest,12124.99
33,male,35.8,2,no,southeast,4890.0
59,male,27.5,1,no,southwest,12333.83
21,female,33.6,2,no,northwest,3579.83
25,female,24.3,3,no,southwest,4391.65
43,male,36.0,3,yes,southeast,42124.52
31,male,38.4,2,no,southeast,4463.21
63,female,36.3,0,no,southeast,13887.2
18,male,29.4,1,no,southeast,1719.44
40,female,41.4,1,no,northwest,28476.73
18,male,26.1,0,no,northeast,1708.93
56,male,34.4,0,no,southeast,10594.23
50,male,32.1,2,no,northeast,25333.33
30,male,25.5,0,no,northeast,3645.09
31,male,34.4,3,yes,northwest,38746.36
